monthData,PE_HH
1977/12/1,22.02687591
1978/1/1,26.67249855
1978/2/1,40.02824626
1978/3/1,62.26058144
1978/4/1,94.72417059
1978/5/1,114.7580998
1978/6/1,107.2116873
1978/7/1,110.2694911
1978/8/1,95.34551342
1978/9/1,69.23035349
1978/10/1,56.93233112
1978/11/1,28.39383053
1978/12/1,32.98243716
1979/1/1,35.4311638
1979/2/1,38.09694017
1979/3/1,72.64482839
1979/4/1,110.7808882
1979/5/1,123.8768603
1979/6/1,119.6845535
1979/7/1,95.46831236
1979/8/1,92.61239944
1979/9/1,74.15728453
1979/10/1,60.65483326
1979/11/1,46.90665372
1979/12/1,25.63659792
1980/1/1,29.93566708
1980/2/1,41.23542131
1980/3/1,71.25784283
1980/4/1,110.7161234
1980/5/1,127.9346697
1980/6/1,103.3576371
1980/7/1,97.25771102
1980/8/1,86.39161922
1980/9/1,65.2089811
1980/10/1,55.5645386
1980/11/1,43.83691415
1980/12/1,37.71651997
1981/1/1,26.4784827
1981/2/1,48.89711974
1981/3/1,62.00965678
1981/4/1,76.26340039
1981/5/1,112.1804576
1981/6/1,101.5341611
1981/7/1,101.2266656
1981/8/1,94.56023455
1981/9/1,61.45750186
1981/10/1,62.36764926
1981/11/1,35.45353984
1981/12/1,26.6708425
1982/1/1,37.69675063
1982/2/1,33.43353294
1982/3/1,66.25347803
1982/4/1,76.01421649
1982/5/1,94.26064276
1982/6/1,78.07399753
1982/7/1,95.13029061
1982/8/1,95.94590527
1982/9/1,55.21751701
1982/10/1,49.54174978
1982/11/1,32.82772214
1982/12/1,18.82490288
1983/1/1,19.60173843
1983/2/1,29.03312769
1983/3/1,50.45421288
1983/4/1,79.94244972
1983/5/1,102.3763832
1983/6/1,80.58464866
1983/7/1,78.4959275
1983/8/1,93.63060615
1983/9/1,69.96098991
1983/10/1,49.83714187
1983/11/1,35.20355947
1983/12/1,24.79964362
1984/1/1,21.80425731
1984/2/1,46.30450576
1984/3/1,81.78610623
1984/4/1,100.4778063
1984/5/1,88.11955432
1984/6/1,97.62082472
1984/7/1,83.77278611
1984/8/1,107.9838437
1984/9/1,72.36762502
1984/10/1,62.83362534
1984/11/1,35.81912678
1984/12/1,29.35370962
1985/1/1,29.1750083
1985/2/1,39.16345005
1985/3/1,63.68340504
1985/4/1,99.07673806
1985/5/1,102.3027893
1985/6/1,82.99142679
1985/7/1,98.67227267
1985/8/1,100.8296916
1985/9/1,60.58774071
1985/10/1,51.49650685
1985/11/1,35.40342605
1985/12/1,27.89289941
1986/1/1,25.97913577
1986/2/1,38.01921364
1986/3/1,62.49182055
1986/4/1,82.12626328
1986/5/1,98.62926983
1986/6/1,86.01327931
1986/7/1,105.6818046
1986/8/1,95.9031018
1986/9/1,72.28829026
1986/10/1,60.67490971
1986/11/1,40.31176609
1986/12/1,27.29062663
1987/1/1,32.36553893
1987/2/1,44.94700164
1987/3/1,77.73632607
1987/4/1,91.84000287
1987/5/1,84.65353488
1987/6/1,90.44461574
1987/7/1,90.00785415
1987/8/1,101.3545119
1987/9/1,68.12147686
1987/10/1,68.25851123
1987/11/1,47.81247464
1987/12/1,35.65589012
1988/1/1,32.47385018
1988/2/1,47.30820344
1988/3/1,64.55444484
1988/4/1,94.03079467
1988/5/1,104.2597759
1988/6/1,99.34586279
1988/7/1,110.2988928
1988/8/1,99.79438099
1988/9/1,67.50129705
1988/10/1,53.03186263
1988/11/1,36.16597909
1988/12/1,36.18730068
1989/1/1,28.67503859
1989/2/1,30.60147503
1989/3/1,66.55551743
1989/4/1,68.06136611
1989/5/1,96.28368095
1989/6/1,86.81084388
1989/7/1,86.30914821
1989/8/1,80.39532161
1989/9/1,71.4060978
1989/10/1,51.14183897
1989/11/1,32.42750782
1989/12/1,23.84721279
1990/1/1,33.3625762
1990/2/1,33.36245751
1990/3/1,60.12452126
1990/4/1,82.23091906
1990/5/1,94.89821805
1990/6/1,97.15198238
1990/7/1,96.62201025
1990/8/1,98.35794757
1990/9/1,65.83090402
1990/10/1,46.35811012
1990/11/1,42.30846118
1990/12/1,33.33943048
1991/1/1,26.96951482
1991/2/1,44.54139602
1991/3/1,73.52128234
1991/4/1,78.25158861
1991/5/1,103.8146152
1991/6/1,101.6667988
1991/7/1,103.159647
1991/8/1,95.21776402
1991/9/1,78.54651782
1991/10/1,64.7216469
1991/11/1,34.61061704
1991/12/1,26.93367955
1992/1/1,25.76922449
1992/2/1,31.31123977
1992/3/1,52.63898941
1992/4/1,102.0087288
1992/5/1,101.2615713
1992/6/1,92.87582298
1992/7/1,83.45375491
1992/8/1,94.91340771
1992/9/1,66.04847264
1992/10/1,50.31210244
1992/11/1,37.59506446
1992/12/1,28.05285026
1993/1/1,19.15630328
1993/2/1,36.52592489
1993/3/1,56.13823437
1993/4/1,95.32383961
1993/5/1,99.72125576
1993/6/1,84.35783702
1993/7/1,89.97316555
1993/8/1,82.05566373
1993/9/1,71.32007839
1993/10/1,55.88611692
1993/11/1,44.17433102
1993/12/1,33.6905618
1994/1/1,28.46798262
1994/2/1,38.13904414
1994/3/1,67.76465652
1994/4/1,92.58876349
1994/5/1,113.2194514
1994/6/1,86.96086997
1994/7/1,107.6253082
1994/8/1,109.661447
1994/9/1,78.20955507
1994/10/1,62.44095613
1994/11/1,36.00873445
1994/12/1,27.66671443
1995/1/1,23.74673036
1995/2/1,30.51417848
1995/3/1,67.49211403
1995/4/1,79.13960324
1995/5/1,136.496654
1995/6/1,114.9282243
1995/7/1,101.7811691
1995/8/1,91.41759286
1995/9/1,75.684649
1995/10/1,51.41252589
1995/11/1,35.22078027
1995/12/1,24.07043256
1996/1/1,28.18505273
1996/2/1,43.24179281
1996/3/1,75.55759959
1996/4/1,98.92932854
1996/5/1,97.99510891
1996/6/1,97.68228895
1996/7/1,101.0135154
1996/8/1,113.5800652
1996/9/1,71.91449304
1996/10/1,55.11654092
1996/11/1,41.98318034
1996/12/1,31.75809431
1997/1/1,29.96533183
1997/2/1,30.80828767
1997/3/1,58.08270242
1997/4/1,84.92338123
1997/5/1,88.27113404
1997/6/1,94.09792065
1997/7/1,109.1963664
1997/8/1,102.3454192
1997/9/1,77.54330739
1997/10/1,50.88889407
1997/11/1,37.19574638
1997/12/1,24.37612386
1998/1/1,30.02730199
1998/2/1,42.03387321
1998/3/1,63.12507556
1998/4/1,105.6358345
1998/5/1,117.7441772
1998/6/1,114.1227722
1998/7/1,87.37168846
1998/8/1,86.11274544
1998/9/1,82.23965971
1998/10/1,56.02591979
1998/11/1,48.49040435
1998/12/1,35.45429236
1999/1/1,35.988145
1999/2/1,55.29980332
1999/3/1,77.35272975
1999/4/1,104.6450989
1999/5/1,99.40857553
1999/6/1,79.45884179
1999/7/1,90.19687917
1999/8/1,100.0044022
1999/9/1,75.98650229
1999/10/1,48.57724299
1999/11/1,43.2862399
1999/12/1,29.79537099
2000/1/1,33.4823372
2000/2/1,35.69455765
2000/3/1,62.76503767
2000/4/1,94.98688295
2000/5/1,119.8752946
2000/6/1,98.62697974
2000/7/1,131.4610362
2000/8/1,97.18048906
2000/9/1,64.06594532
2000/10/1,65.93540905
2000/11/1,40.93728268
2000/12/1,28.42030947
2001/1/1,32.84606532
2001/2/1,44.42748446
2001/3/1,70.17426726
2001/4/1,93.43446754
2001/5/1,98.61247405
2001/6/1,107.0206619
2001/7/1,132.1507992
2001/8/1,95.52102877
2001/9/1,71.19559031
2001/10/1,63.18091152
2001/11/1,40.4148711
2001/12/1,31.29529152
2002/1/1,27.16957767
2002/2/1,48.70450843
2002/3/1,73.95090542
2002/4/1,116.4394827
2002/5/1,93.15814588
2002/6/1,101.79424
2002/7/1,107.6461978
2002/8/1,117.2733537
2002/9/1,78.60124787
2002/10/1,67.29018639
2002/11/1,41.2148147
2002/12/1,37.58966598
2003/1/1,36.07376657
2003/2/1,45.62862165
2003/3/1,75.84905272
2003/4/1,117.3017856
2003/5/1,100.4628525
2003/6/1,101.7712357
2003/7/1,108.424752
2003/8/1,93.52941717
2003/9/1,80.46768759
2003/10/1,58.79718396
2003/11/1,47.02517088
2003/12/1,31.69648805
2004/1/1,29.40964909
2004/2/1,45.6486831
2004/3/1,90.34487677
2004/4/1,101.4920918
2004/5/1,97.63995588
2004/6/1,97.44284724
2004/7/1,111.1725315
2004/8/1,100.1091515
2004/9/1,74.04688734
2004/10/1,54.09576555
2004/11/1,38.76306196
2004/12/1,31.67843523
2005/1/1,33.80304689
2005/2/1,43.02248347
2005/3/1,70.95228057
2005/4/1,89.64100944
2005/5/1,95.85461034
2005/6/1,100.6162538
2005/7/1,118.1710633
2005/8/1,100.5418553
2005/9/1,73.80805832
2005/10/1,54.27609384
2005/11/1,34.12760852
2005/12/1,35.392313
2006/1/1,47.25907866
2006/2/1,47.914431
2006/3/1,71.07767534
2006/4/1,90.37702398
2006/5/1,104.8073853
2006/6/1,100.89226
2006/7/1,115.5130688
2006/8/1,101.1428421
2006/9/1,75.4908264
2006/10/1,55.89152193
2006/11/1,39.76852997
2006/12/1,27.4059633
2007/1/1,30.243723
2007/2/1,38.38297095
2007/3/1,75.24721569
2007/4/1,112.2299981
2007/5/1,104.8930219
2007/6/1,99.27766289
2007/7/1,112.1855227
2007/8/1,102.2100253
2007/9/1,76.70720782
2007/10/1,60.36971809
2007/11/1,39.98898998
2007/12/1,31.99316939
2008/1/1,31.75937846
2008/2/1,29.40662802
2008/3/1,66.10471392
2008/4/1,99.25012107
2008/5/1,106.0702124
2008/6/1,101.0634521
2008/7/1,113.0933877
2008/8/1,98.11037786
2008/9/1,73.43507554
2008/10/1,52.193212
2008/11/1,35.40788596
2008/12/1,37.08717719
2009/1/1,37.71829003
2009/2/1,55.03514405
2009/3/1,69.90053114
2009/4/1,95.6402067
2009/5/1,94.4445391
2009/6/1,99.17985348
2009/7/1,113.8930482
2009/8/1,98.73381827
2009/9/1,73.94946771
2009/10/1,52.72836729
2009/11/1,37.25012803
2009/12/1,33.34297449
2010/1/1,41.2848658
2010/2/1,50.8216947
2010/3/1,86.17090885
2010/4/1,107.7969578
2010/5/1,104.3693009
2010/6/1,96.9182187
2010/7/1,114.4393513
2010/8/1,98.51659142
2010/9/1,75.9951587
2010/10/1,57.08732528
2010/11/1,43.06079108
2010/12/1,36.07326288
2011/1/1,31.96967669
2011/2/1,48.67096164
2011/3/1,68.57811937
2011/4/1,91.08771918
2011/5/1,102.4941468
2011/6/1,98.82802828
2011/7/1,113.7136946
2011/8/1,98.18161302
2011/9/1,72.47779899
2011/10/1,57.23603207
2011/11/1,36.02847511
2011/12/1,28.53421926
2012/1/1,24.87534247
2012/2/1,39.8161248
2012/3/1,61.19367218
2012/4/1,93.15099594
2012/5/1,98.36456142
2012/6/1,99.14616173
2012/7/1,113.3718315
2012/8/1,97.68007137
2012/9/1,74.34588613
2012/10/1,54.6855182
2012/11/1,45.53123446
2012/12/1,39.15297645
2013/1/1,31.62396359
2013/2/1,52.63350514
2013/3/1,84.41468857
2013/4/1,94.80708833
2013/5/1,88.4209573
2013/6/1,99.1187112
2013/7/1,113.6018985
2013/8/1,96.90604016
2013/9/1,73.37964348
2013/10/1,60.68509173
2013/11/1,36.53284059
2013/12/1,25.97258883
2014/1/1,34.42517484
2014/2/1,42.42235476
2014/3/1,72.57901769
2014/4/1,89.11461908
2014/5/1,101.9803318
2014/6/1,99.61268508
2014/7/1,113.2333167
2014/8/1,90.31341632
2014/9/1,70.01387648
2014/10/1,56.01903892
2014/11/1,44.22445884
2014/12/1,33.87323402
2015/1/1,32.76344013
